,test_result
0,2345.7458
1,2467.5256
2,2345.7458
3,2467.5256
4,2478.5833
5,2517.1426
6,2526.9976
7,2443.2405
8,2409.1277
9,2345.0642
10,2253.8047
11,2214.676
12,2169.5244
13,2152.3765
14,2152.312
15,2194.0513
16,2318.1943
17,2406.584
18,2436.0557
19,2394.5923
20,2426.515
21,2433.6382
22,2359.245
23,2325.7632
24,2363.9841
25,2418.4512
26,2414.8042
27,2433.6208
28,2390.2896
29,2359.0735
30,2403.1772
31,2395.8262
32,2357.3533
33,2289.3467
34,2216.8242
35,2240.6719
36,2305.1555
37,2334.7815
38,2409.4556
39,2451.8472
40,2495.7764
41,2469.519
42,2291.8638
43,2165.4243
44,2186.5452
45,2195.433
46,2203.7651
47,2258.1174
48,2338.1301
49,2411.0981
50,2426.8958
51,2425.3062
52,2421.562
53,2390.5566
54,2384.0989
55,2446.6838
56,2459.0117
57,2453.81
58,2341.8245
59,2227.377
60,2263.006
61,2307.734
